"candidate","baseline","metric","delta","ci_low","ci_high","p_value_one_sided","R"
"patp_dsge","existing","accuracy",-0.162222222222222,-0.183333333333333,-0.140541666666667,1,2000
"patp_hybrid","existing","accuracy",0.0994444444444444,0.0838888888888889,0.115555555555556,0,2000
