"family","R","requested_kappa3","requested_kappa4","U_skew","U_excess","x1_skew","x1_excess","x2_skew","x2_excess"
"gaussian",1.5,0,0,-0.00792638615236725,0.00780554224787444,-0.0165654555847022,-0.0277775171938499,-0.0246056701376282,0.0325471204543506
"skew_only",1.5,0.75,0,0.736050971553232,0.750623080455529,0.121184660425731,0.0630096828579307,0.26428487641952,0.18219290215977
"pure_kurtosis",1.5,0,-1.3,-0.00457571475052278,-1.29486512429107,-0.0146890352183568,-0.141352335034006,-0.00861328572063351,-0.376453232905981
"pure_kurtosis",1.5,0,3,-0.0483111768024795,2.88884095498474,-0.000225802908202155,0.28697882757955,-0.0117699828314482,0.810279588214307
"mixed_ad_hoc",1.5,0.75,1.3,0.130191897716517,0.676132990051913,0.0470267855058615,0.0809149283293,0.0597334863799686,0.199514684669984
"mixed_ad_hoc",1.25,2.25,3,1.06912535714736,2.94967787522074,0.206718288665183,0.377666714887942,0.306104086521602,0.597018080841214
