"method","n_features","threshold","typeI_H0_ng","nuisance_H1_gauss","power_H1_ng","accuracy","balanced_accuracy"
"existing",11,0.683859528108343,0.00666666666666667,0.111666666666667,0.626666666666667,0.836111111111111,0.78375
"dsge",12,0.665491682252811,0.0266666666666667,0.1,0.603333333333333,0.825555555555556,0.77
"hybrid",23,0.41598688961179,0.03,0.0783333333333333,0.901666666666667,0.931111111111111,0.92375
