"scenario","R","kappa4","naive_delta_c4_reference","pmm3_delta_c4_reference","marginal_gamma3_H0_ng","marginal_gamma4_H0_ng","marginal_gamma6_H0_ng","marginal_g3_theory_like_H0_ng","reference_n"
"H0_ng",1,-1.3,-0.077026684005137,-0.0757496963300169,-0.00779051856350873,-0.154934532441856,0.377387533317624,0.995182656755384,300000
"H1_ng",1.5,-1.3,-2.46859123530617,-2.46956976489679,-0.00779051856350873,-0.154934532441856,0.377387533317624,0.995182656755384,300000
"H1_gauss_nuisance",1.5,0,-0.201852373606897,-0.209268674885967,-0.00779051856350873,-0.154934532441856,0.377387533317624,0.995182656755384,300000
