"check_id","max_degree","basis_dim","N","R","alt_kappa3","alt_kappa4","null_kappa3","null_kappa4","reps","calibration_reps","train_n","threshold_empirical","null_rate_empirical","alt_rate_empirical","mean_abs_alt_z","mean_abs_null_z","null_sd_z","J","cond_F","ridge","degenerate_direction"
"gaussian_fixed_skew",4,4,2000,1.5,0.75,0,0,0,300,600,20000,1.2779983860814,0.05,0.546666666666667,1.35093706273218,0.527072024172522,0.651850646856791,0.00123620517876618,683.910631619138,8.68716418924953e-05,FALSE
"gaussian_fixed_skew",5,7,2000,1.5,0.75,0,0,0,300,600,20000,1.35107816072123,0.0466666666666667,0.553333333333333,1.42404158935235,0.573263665080092,0.710250767064464,0.00161819436272087,66347.0428381905,0.000675653598859992,FALSE
"gaussian_fixed_skew",6,10,2000,1.5,0.75,0,0,0,300,600,20000,1.08627086230497,0.09,0.543333333333333,1.24571309209217,0.479600557823801,0.611035641021889,0.00110982771636853,1135697.04899068,0.00860658152703818,FALSE
"gaussian_fixed_platykurt",4,4,2000,1.5,0,-1.3,0,0,300,600,20000,1.35406599504382,0.06,0.176666666666667,0.869993429486165,0.558702165545534,0.700005002249778,0.000622412701436833,491.557303076635,6.61906745792185e-05,FALSE
"gaussian_fixed_platykurt",5,7,2000,1.5,0,-1.3,0,0,300,600,20000,1.28292591639146,0.0566666666666667,0.166666666666667,0.756959478161244,0.539397094909453,0.675353059004294,0.00117145642960422,38133.624936184,0.00037568315247144,FALSE
"gaussian_fixed_platykurt",6,10,2000,1.5,0,-1.3,0,0,300,600,20000,1.57347996471389,0.04,0.183333333333333,1.01756151913263,0.64097715106807,0.787498873036487,0.000851815489059901,420072.511489213,0.00312424465472418,FALSE
"gaussian_fixed_leptokurt",4,4,2000,1.5,0,1.3,0,0,300,600,20000,0.81861074694211,0.06,0.226666666666667,0.572913491088582,0.316039675891079,0.403844238976296,0.000226114757622396,863.110984805947,0.000103723831226413,FALSE
"gaussian_fixed_leptokurt",5,7,2000,1.5,0,1.3,0,0,300,600,20000,1.51451708345593,0.0266666666666667,0.0733333333333333,0.661217809918284,0.550746950919842,0.69851306134363,0.000566491292941302,146528.185454095,0.00108378173542209,FALSE
"gaussian_fixed_leptokurt",6,10,2000,1.5,0,1.3,0,0,300,600,20000,1.37450851404485,0.0366666666666667,0.25,1.14156788857378,0.539033745174777,0.687031889931746,0.00063893753703292,730581.519723319,0.00521816189061768,FALSE
