"method","threshold","typeI_H0_ng","power_H1_ng","nuisance_H1_gauss","mean_H0_ng","mean_H1_ng","mean_H1_gauss","var_H0_ng","var_H1_ng"
"naive_delta_c4",1.09648507467224,0.0525,0.9575,0.2275,-0.00710657395681962,-2.41233787278748,0.0726416742825999,0.312442782030832,0.542684529278478
"pmm3_delta_c4",0.998046726895256,0.07125,0.97875,0.295,-0.0100099406519058,-2.52104518040357,-0.262337072869709,0.277241594256922,0.487327098600009
