"basis","N","R_alt","kappa3","kappa4","train_n","calibration_reps","eval_reps","threshold_empirical","null_rate","alt_rate","gaussian_nuisance_rate","mean_score_null","mean_score_alt","mean_score_gaussian_nuisance","sd_score_null","sd_score_alt","sd_score_gaussian_nuisance","cond_h0","cond_h1","cond_max","elapsed_sec"
"poly3",2000,1.5,0,-1.3,30000,600,300,-4.69318942238072e-05,0.06,0.946666666666667,0.896666666666667,-0.00182996673722711,0.00173623418244694,0.00160310850282717,0.00111648549278073,0.00116882773412689,0.00124716584798826,8.51396217763617,9.44155269808849,9.44155269808849,1.08
"poly4",2000,1.5,0,-1.3,30000,600,300,0.000466397376179228,0.0533333333333333,0.86,0.903333333333333,-0.00230018817221925,0.00221179172931911,0.00263170146845854,0.00168181923531265,0.00159726345142149,0.00183519859003727,16.4792712533978,17.8112654194012,17.8112654194012,1.224
"signed_frac",2000,1.5,0,-1.3,30000,600,300,0.000308793958637137,0.0466666666666667,0.863333333333333,0.773333333333333,-0.00261864660857321,0.00239926605355685,0.00156493477419865,0.00179949085109474,0.00187654564840493,0.00189077475793597,20951.4343127473,24237.8784495334,24237.8784495334,1.646
"robust",2000,1.5,0,-1.3,30000,600,300,0.000408456991016075,0.04,0.863333333333333,0.86,-0.00202851103189055,0.00227676685384695,0.00237375632169666,0.0014764823359343,0.00160262804404521,0.00179532325507783,353305.028319442,379224.723588472,379224.723588472,1.658
