"candidate","baseline","metric","delta","ci_low","ci_high","p_value_one_sided","R"
"dsge","existing","accuracy",-0.0105555555555555,-0.0322222222222222,0.00944444444444437,0.8535,2000
"hybrid","existing","accuracy",0.095,0.0788888888888889,0.111125,0,2000
